date,count_rate
2015-03-10,101.522
2015-03-11,101.179
2015-03-13,100.330
2015-03-14,100.501
2015-03-15,100.724
2015-03-16,100.449
2015-03-25,100.260
2015-03-26,100.590
2015-04-03,100.055
2015-04-04,100.776
2015-04-05,101.407
2015-04-06,101.558
2015-04-07,101.569
2015-04-08,101.902
2015-04-09,101.592
2015-04-13,100.332
2015-04-14,100.742
2015-04-15,100.573
2015-04-16,100.901
2015-04-17,100.764
2015-04-18,100.533
2015-04-19,100.830
2015-04-20,101.685
2015-04-21,101.209
2015-04-22,100.886
2015-04-23,100.998
2015-04-24,101.111
2015-04-25,101.390
2015-04-26,101.549
2015-04-27,101.776
2015-04-28,102.083
2015-04-29,102.510
2015-04-30,102.472
2015-05-01,102.156
2015-05-02,102.034
2015-05-03,102.025
2015-05-04,101.996
2015-05-05,101.321
2015-05-09,100.409
2015-05-10,100.858
2015-05-11,101.102
2015-05-12,101.019
2015-05-13,101.385
2015-05-14,102.125
2015-05-15,102.387
2015-05-16,103.012
2015-05-17,102.933
2015-05-18,102.690
2015-05-19,102.026
2015-05-20,101.772
2015-05-21,102.156
2015-05-22,102.436
2015-05-23,102.315
2015-05-24,103.032
2015-05-25,103.238
2015-05-26,103.901
2015-05-27,104.265
2015-05-28,104.398
2015-05-29,104.187
2015-05-30,104.054
2015-05-31,103.560
2015-06-01,103.303
2015-06-02,103.379
2015-06-03,103.460
2015-06-04,103.626
2015-06-05,103.710
2015-06-06,103.484
2015-06-07,103.794
2015-06-08,103.314
2015-06-09,103.439
2015-06-10,103.670
2015-06-11,104.149
2015-06-12,104.541
2015-06-13,104.194
2015-06-14,103.468
2015-06-15,102.174
2015-06-16,102.491
2015-06-17,102.988
2015-06-18,103.015
2015-06-19,103.485
2015-06-20,103.807
2015-06-21,103.412
2015-06-22,101.165
2015-06-30,101.663
2015-07-01,102.321
2015-07-02,102.569
2015-07-03,102.596
2015-07-04,103.108
2015-07-05,102.719
2015-07-06,102.959
2015-07-07,102.987
2015-07-08,103.135
2015-07-09,103.433
2015-07-10,103.962
2015-07-11,103.414
2015-07-12,103.194
